"p","U:0","U:1","U:2","adjSource","adjnuTilda","checkRNS:0","checkRNS:1","checkRNS:2","dStar:0","dStar:1","dStar:2","nuTilda","nut","pNutpNuTilda","pNutpNuTildaFD","pRNSpNut:0","pRNSpNut:1","pRNSpNut:2","pRNSpNutFD:0","pRNSpNutFD:1","pRNSpNutFD:2","adjSensField","fdSensField","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00025914,0,0,0,0,0,10,10,10,1,1,0,0,0,10,10,10,10,10,10,10,10,-1.2699e-05,-1.2675e-05,1,0.32,0.32,0.75,1
0.00025451,0,0,0,0,0,10,10,10,1,1,0,0,0,10,10,10,10,10,10,10,10,-1.1078e-05,-1.1057e-05,1,0.33,0.33,0.75,1
0.00024987,0,0,0,0,0,10,10,10,1,1,0,0,0,10,10,10,10,10,10,10,10,-9.458e-06,-9.4391e-06,1,0.34,0.34,0.75,1
0.00024524,0,0,0,0,0,10,10,10,1,1,0,0,0,10,10,10,10,10,10,10,10,-7.8377e-06,-7.8211e-06,1,0.35,0.35,0.75,1
0.00024061,0,0,0,0,0,10,10,10,1,1,0,0,0,10,10,10,10,10,10,10,10,-6.2173e-06,-6.2031e-06,1,0.36,0.36,0.75,1
0.00023598,0,0,0,0,0,10,10,10,1,1,0,0,0,10,10,10,10,10,10,10,10,-4.5969e-06,-4.585e-06,1,0.37,0.37,0.75,1
0.00023134,0,0,0,0,0,10,10,10,1,1,0,0,0,10,10,10,10,10,10,10,10,-2.9765e-06,-2.967e-06,1,0.38,0.38,0.75,1
0.00022671,0,0,0,0,0,10,10,10,1,1,0,0,0,10,10,10,10,10,10,10,10,-1.3561e-06,-1.3489e-06,1,0.39,0.39,0.75,1
0.00022208,0,0,0,0,0,10,10,10,1,1,0,0,0,10,10,10,10,10,10,10,10,2.6424e-07,2.691e-07,1,0.4,0.4,0.75,1
0.00021745,0,0,0,0,0,10,10,10,1,1,0,0,0,10,10,10,10,10,10,10,10,1.8846e-06,1.8871e-06,1,0.41,0.41,0.75,1
0.00021281,0,0,0,0,0,10,10,10,1,1,0,0,0,10,10,10,10,10,10,10,10,3.505e-06,3.5052e-06,1,0.42,0.42,0.75,1
0.00020818,0,0,0,0,0,10,10,10,1,1,0,0,0,10,10,10,10,10,10,10,10,5.1254e-06,5.1232e-06,1,0.43,0.43,0.75,1
0.00020355,0,0,0,0,0,10,10,10,1,1,0,0,0,10,10,10,10,10,10,10,10,6.7458e-06,6.7413e-06,1,0.44,0.44,0.75,1
0.00019891,0,0,0,0,0,10,10,10,1,1,0,0,0,10,10,10,10,10,10,10,10,8.3661e-06,8.3593e-06,1,0.45,0.45,0.75,1
0.00019428,0,0,0,0,0,10,10,10,1,1,0,0,0,10,10,10,10,10,10,10,10,9.9865e-06,9.9773e-06,1,0.46,0.46,0.75,1
0.00018965,0,0,0,0,0,10,10,10,1,1,0,0,0,10,10,10,10,10,10,10,10,1.1607e-05,1.1595e-05,1,0.47,0.47,0.75,1
0.00018502,0,0,0,0,0,10,10,10,1,1,0,0,0,10,10,10,10,10,10,10,10,1.3227e-05,1.3213e-05,1,0.48,0.48,0.75,1
0.00018038,0,0,0,0,0,10,10,10,1,1,0,0,0,10,10,10,10,10,10,10,10,1.4848e-05,1.4831e-05,1,0.49,0.49,0.75,1
0.00017575,0,0,0,0,0,10,10,10,1,1,0,0,0,10,10,10,10,10,10,10,10,1.6468e-05,1.645e-05,1,0.5,0.5,0.75,1
0.00017187,0,0,0,0,0,10,10,10,1,1,0,0,0,10,10,10,10,10,10,10,10,1.5358e-05,1.534e-05,1,0.51,0.51,0.75,1
0.000168,0,0,0,0,0,10,10,10,1,1,0,0,0,10,10,10,10,10,10,10,10,1.4247e-05,1.4231e-05,1,0.52,0.52,0.75,1
0.00016412,0,0,0,0,0,10,10,10,1,1,0,0,0,10,10,10,10,10,10,10,10,1.3137e-05,1.3121e-05,1,0.53,0.53,0.75,1
